	x	y	theta	v	a	sigma	omega	t
0	7.96019900497512	-0.820895522388057	-0.292805411327151	-9.999090713700842e-09	-1.0000000099788622	0.74859025836572	0.03211120412311019	0.04390193017934373
1	7.960199004554057	-0.8208955222608175	-0.29280541147295974	-0.04390194066175574	-1.000000009978418	0.7500000022071074	8.816883264060688e-08	0.08780386035868747
2	7.958353657972387	-0.8203392045407488	-0.29344667587709755	-0.08780387130125546	-1.0000000099779554	0.7500000060778894	2.9187462726678413e-08	0.1317057905380312
3	7.954663679483299	-0.8192242027471948	-0.2947292045487669	-0.13170580193319928	-1.0000000099774722	0.7500000073592754	1.4435162021485064e-08	0.17560772071737493
4	7.949130861545124	-0.8175446027437967	-0.29665299748782264	-0.17560773256136297	-1.0000000099769675	0.7500000079930068	8.526752908798472e-09	0.21950965089671867
5	7.941758093020513	-0.8152909482738513	-0.29921805469417323	-0.2195096631872486	-1.00000000997644	0.7500000083673478	5.564403561326109e-09	0.2634115810760624
6	7.932549388721574	-0.812450250046195	-0.3024243761677469	-0.2634115938116055	-1.0000000099758877	0.7500000086116358	3.86277152057954e-09	0.3073135112554061
7	7.921509930260698	-0.8090059985028021	-0.3062719619084802	-0.3073135244348612	-1.000000009975309	0.750000008781219	2.7895786480793513e-09	0.35121544143474986
8	7.908646118149663	-0.8049381804498394	-0.31076081191631244	-0.3512154550572822	-1.000000009974702	0.7500000089036869	2.063487305892795e-09	0.3951173716140936
9	7.8939656350716385	-0.8002232997842199	-0.31589092619118225	-0.39511738567904575	-1.0000000099740645	0.750000008994278	1.5434455830982458e-09	0.43901930179343734
10	7.877477520231533	-0.7948344025975665	-0.3216623047330257	-0.43901931630027535	-1.000000009973394	0.7500000090620382	1.1520781130097038e-09	0.4829212319727811
11	7.859192254669197	-0.7887411069888133	-0.328074947541774	-0.4829212469210604	-1.0000000099726885	0.7500000091126167	8.437122766176922e-10	0.5268231621521248
12	7.839121857397297	-0.7819096379652988	-0.33512885461735153	-0.5268231775414675	-1.0000000099719444	0.7500000091496573	5.895989253872744e-10	0.5707250923314685
13	7.817279992200731	-0.774302867860014	-0.34282402595967354	-0.5707251081615472	-1.0000000099711588	0.7500000091755418	3.704714302321932e-10	0.6146270225108122
